title,location,company,department,link,mission,requirements,benefits,scrape_timestamp,first_seen,last_seen,active
"Accountant, Revenue","Palo Alto, CA",SpaceX,Corporate - Finance & Accounting,https://boards.greenhouse.io/spacex/jobs/8663938002?gh_jid=8663938002,"Calculate, analyze, and report revenue for SpaceX AI’s AI platform and services, including Grok API usage-based billing, subscriptions, and enterprise agreements
Prepare journal entries, reconciliations, and materials for internal and external reporting on a monthly and quarterly basis
Work with technical accounting to document new product and platform initiatives to ensure all transactions are accounted for in accordance with company policies and US GAAP
Identify opportunities for process improvement and drive initiatives to simplify, eliminate, or automate operational activities (including revenue systems and reporting)
Work cross-functionally with Engineering, Product, Revenue Operations, Sales, and Legal teams to gain an in-depth understanding of company operations and business results within assigned areas
Execute and maintain high-quality work to ensure accuracy and completeness of the company’s financial statements
Provide support for annual financial statement audits, ad hoc analyses, user acceptance testing, and revenue-related projects as needed","Bachelor’s degree
1.5+ years of accounting experience
PREFERRED SKILLS AND EXPERIENCE:
Bachelor’s degree in accounting, finance, business, or other business discipline
CPA license or equivalent
2+ years of work experience in revenue accounting (SaaS/technology revenue experience strongly preferred)
Advanced Excel skills; experience with analytics/BI tools (SQL, Power BI, Superset, Alteryx, etc.) is desirable
Experience with ERP and billing systems (Oracle, HubSpot, Stripe Billing, etc.) is desirable
Exceptional analytical skills and experience working with large data sets
Strong written, verbal, and interpersonal communication skills
Strong attention to detail and the ability to deliver high-quality results under short deadlines
Strong understanding of ASC 606 revenue recognition principles
A proactive, self-directed approach with the ability to multi-task, think creatively, and learn quickly in a fast-paced environment","Willingness to work long hours and weekends when needed to meet critical deadlines
This position is based in Palo Alto, CA, and requires being onsite - remote and hybrid work is not considered
COMPENSATION AND BENEFITS:
Pay Range:
Level 1: $95,000.00 - $130,000.00
Level 2: $110,000.00 - $155,000.00
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.
Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees accrue paid sick leave pursuant to Com",2026-09-04_16-24-27,2026-09-04,2026-09-14,True
"Accountant, Revenue","Hawthorne, CA",SpaceX,Corporate - Finance & Accounting,https://boards.greenhouse.io/spacex/jobs/8523414002?gh_jid=8523414002,"Calculate, analyze, and report revenue for Starlink, SpaceX’s global internet business
Prepare journal entries, reconciliations, and materials for internal and external reporting on a monthly and quarterly basis
Perform accounting analyses on new product initiatives to ensure all transactions are accounted for in accordance with company policies and US GAAP
Participate in and drive order-to-cash process improvements and automation initiatives to enhance revenue system capabilities
Work cross-functionally to gain an in-depth understanding of company operations and business results within assigned areas
Execute and maintain high-quality work to ensure accuracy and completeness of the company’s financial statements
Provide support for annual financial statement audits, ad hoc analyses, user acceptance testing, and revenue related projects as needed","Bachelor’s degree
2+ years of accounting experience
PREFERRED SKILLS AND EXPERIENCE:
Bachelor’s degree in accounting, finance, business, or other business discipline
Prior experience in Microsoft Excel, SQL, D365 and Power BI
Exceptional analytical skills and experience working with large data sets
Strong written, verbal, and interpersonal communication skills including the ability to listen attentively and communicate information clearly and effectively
CPA license or equivalent
Experience in accounting for subscription-based technology companies with global sales
Strong understanding of ASC 606 revenue recognition principles
A proactive, self-directed approach with the ability to multi-task, think creatively, and learn quickly in a fast-paced environment","Willingness to work long hours and weekends when needed to meet critical deadlines
This position is based in Hawthorne, CA, and requires being onsite - remote and hybrid work is not considered
COMPENSATION AND BENEFITS:
Pay range:
Accountant: $85,000.00 - $120,000.00/per year
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.
Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees accrue paid sick leave pursuant to Company po",2026-09-04_16-24-30,2026-09-04,2026-09-14,True
"Accountant, Revenue","Hawthorne, CA",SpaceX,Corporate - Finance & Accounting,https://boards.greenhouse.io/spacex/jobs/8577633002?gh_jid=8577633002,"Calculate, analyze, and report revenue for SpaceXAI’s AI platform and services, including Grok API usage-based billing, subscriptions, and enterprise agreements
Prepare journal entries, reconciliations, and materials for internal and external reporting on a monthly and quarterly basis
Work with technical accounting to document new product and platform initiatives to ensure all transactions are accounted for in accordance with company policies and US GAAP
Identify opportunities for process improvement and drive initiatives to simplify, eliminate, or automate operational activities (including revenue systems and reporting)
Work cross-functionally with Engineering, Product, Revenue Operations, Sales, and Legal teams to gain an in-depth understanding of company operations and business results within assigned areas
Execute and maintain high-quality work to ensure accuracy and completeness of the company’s financial statements
Provide support for annual financial statement audits, ad hoc analyses, user acceptance testing, and revenue-related projects as needed","Bachelor’s degree
2+ years of accounting experience
PREFERRED SKILLS AND EXPERIENCE:
Bachelor’s degree in accounting, finance, business, or other business discipline
CPA license or equivalent
Minimum of 2 years of work experience in revenue accounting (SaaS/technology revenue experience strongly preferred)
Advanced Excel skills; experience with analytics/BI tools (SQL, Power BI, Superset, Alteryx, etc.) is desirable
Experience with ERP and billing systems (Oracle, HubSpot, Stripe Billing, etc.) is desirable
Exceptional analytical skills and experience working with large data sets
Strong written, verbal, and interpersonal communication skills
Strong attention to detail and the ability to deliver high-quality results under short deadlines
Strong understanding of ASC 606 revenue recognition principles
A proactive, self-directed approach with the ability to multi-task, think creatively, and learn quickly in a fast-paced environment","Willingness to work long hours and weekends when needed to meet critical deadlines
This position is based in Hawthorne, CA, and requires being onsite - remote and hybrid work is not considered
COMPENSATION AND BENEFITS:
Pay range:
Accountant: $85,000.00 - $120,000.00/per year
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.
Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees accrue paid sick leave pursuant to Company po",2026-09-04_16-24-31,2026-09-04,2026-09-14,True
"Accountant, AI Operations","Palo Alto, CA",SpaceX,Corporate - Finance & Accounting,https://boards.greenhouse.io/spacex/jobs/8786430002?gh_jid=8786430002,"Support the full AR/collections lifecycle: aging management, outreach, follow-up, dispute resolution, payment application coordination, and account reconciliation
Execute collections activities in adherence to established SOPs for collecting, suspending services, and escalations
Assist with dunning workflows and customer engagement on past-due balances
Help monitor DSO, aged balances, and maintain a clean AR ledger
Serve as a first line of response for AR/collections inquiries across email and ticketing platforms, treating every interaction with professionalism and urgency
Investigate and resolve inquiries independently when possible; escalate when required
Support de-escalation of billing disputes and payment issues with a solutions-oriented, empathetic approach
Maintain thorough documentation of customer interactions, disputes, and resolutions
Partner with Billing, Deal Desk, Revenue Accounting, Sales, Customer Success, and Legal to help resolve account issues
Provide AR/collections data and support for monthly and quarterly close
Communicate on accounts approaching escalation or suspension thresholds
Surface patterns and issues to leadership","Bachelor’s degree
1+ years of experience in accounting (internship experience qualifies)
PREFERRED SKILLS AND EXPERIENCE:
Bachelor’s degree in accounting, finance, business, or other business discipline
1+ years of experience in Accounts Receivable, Collections, accounting, or finance (internship experience qualifies)
CPA license or equivalent
Hands-on experience or familiarity with AR/ERP platforms (NetSuite, Salesforce, or similar)
Ability to follow established SOPs while exercising sound judgment
Familiarity with ticketing/support platforms
Excellent written, verbal, and interpersonal communication skills
Experience in a high-volume or fast-paced environment
Strong customer service orientation","Must be willing to work long hours or weekends as needed
This position is based in Palo Alto, CA, and requires being onsite full-time — hybrid and remote work will not be considered
Pay Range:
Level 1: $95,000.00 - $130,000.00
Level 2: $110,000.00 - $155,000.00
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.
Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees accrue paid sick leave pursuant to Company policy which satisfies or exceeds",2026-09-14_14-43-47,2026-09-14,2026-09-14,True
"Account Lead, Starlink Strategic Connectivity","Hawthorne, CA",SpaceX,Corporate - Sales & Business Operations,https://boards.greenhouse.io/spacex/jobs/8585061002?gh_jid=8585061002,"Act as the primary point of contact for a portfolio of Strategic Connectivity accounts by building and managing the strategy to own the interface from contract signature onwards, including onboarding, ongoing account management, and long-term retention/growth of the relationship including social and humanitarian impact. In particular, this role is focused on:
Delivering impeccable customer service at scale to underserved communities
Developing engagement strategy and content for underserved communities that enables continuous growth and self-support
Building relationships to identify requirements and manage expectations
Collecting, communicating and championing customer feedback internally to influence and steer programmatic and technical development required to maintain and grow business
Maintaining a culture of extreme ownership to drive continuous growth and streamline process efficiency
Help define and shape the overall social impact narrative for Starlink, documenting compelling stories, case studies, and reports that demonstrate measurable societal benefits, such as improved outcomes in education, healthcare, and economic development in remote areas
Manage strategic partnersh","Bachelor's degree
2+ years of consulting, project management, or strategic planning experience
1+ years in an external-facing role managing vendors, commercial or government contracts, or business/enterprise customers
PREFERRED SKILLS AND EXPERIENCE:
Demonstrated leadership in negotiations
Demonstrated ability to project manage multiple new products or programs from ideation to full-scale implementation
Proven track record of defining and managing complex projects independently, with executive-level oversight
Experience interpreting, negotiating, and influencing technical requirements in high-stakes environments
Experience managing multiple large-scale projects and delivering under tight time, resource, and geopolitical constraints
Excellent problem-solving and investigative skills, with a history of uncovering root causes and driving systemic improvements
Outstanding written and verbal communication skills, including crafting executive-level presentations, impact reports, and narrative-driven content
Exceptional empathy, active listening, resiliency, and stakeholder management skills, particularly in diverse cultural or regional contexts
Ability to read, draft, and negotiate compl","Must be available to work extended hours and/or weekends as needed to support critical milestones or operations shifts
Must be willing to travel to other SpaceX offices, customer locations, and international regions as needed
Pay range:
Account Lead, Starlink Strategic Connectivity : $90,000.00 - $125,000.00/per year
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.
Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees acc",2026-09-14_14-43-48,2026-09-14,2026-09-14,True
"Account Lead, Starlink Strategic Connectivity","Bastrop, TX",SpaceX,Corporate - Sales & Business Operations,https://boards.greenhouse.io/spacex/jobs/8594962002?gh_jid=8594962002,"Act as the primary point of contact for a portfolio of Strategic Connectivity accounts by building and managing the strategy to own the interface from contract signature onwards, including onboarding, ongoing account management, and long-term retention/growth of the relationship including social and humanitarian impact. In particular, this role is focused on:
Delivering impeccable customer service at scale to underserved communities
Developing engagement strategy and content for underserved communities that enables continuous growth and self-support
Building relationships to identify requirements and manage expectations
Collecting, communicating and championing customer feedback internally to influence and steer programmatic and technical development required to maintain and grow business
Maintaining a culture of extreme ownership to drive continuous growth and streamline process efficiency
Help define and shape the overall social impact narrative for Starlink, documenting compelling stories, case studies, and reports that demonstrate measurable societal benefits, such as improved outcomes in education, healthcare, and economic development in remote areas
Manage strategic partnersh","Bachelor's degree
2+ years of consulting, project management, or strategic planning experience
1+ years in an external-facing role managing vendors, commercial or government contracts, or business/enterprise customers
PREFERRED SKILLS AND EXPERIENCE:
Demonstrated leadership in negotiations
Demonstrated ability to project manage multiple new products or programs from ideation to full-scale implementation
Proven track record of defining and managing complex projects independently, with executive-level oversight
Experience interpreting, negotiating, and influencing technical requirements in high-stakes environments
Experience managing multiple large-scale projects and delivering under tight time, resource, and geopolitical constraints
Excellent problem-solving and investigative skills, with a history of uncovering root causes and driving systemic improvements
Outstanding written and verbal communication skills, including crafting executive-level presentations, impact reports, and narrative-driven content
Exceptional empathy, active listening, resiliency, and stakeholder management skills, particularly in diverse cultural or regional contexts
Ability to read, draft, and negotiate compl","Must be available to work extended hours and/or weekends as needed to support critical milestones or operations shifts
Must be willing to travel to other SpaceX offices, customer locations, and international regions as needed
ITAR REQUIREMENTS:
To conform to U.S. Government export regulations, applicant must be a (i) U.S. citizen or national, (ii) U.S. lawful, permanent resident (aka green card holder), (iii) Refugee under 8 U.S.C. § 1157, or (iv) Asylee under 8 U.S.C. § 1158, or be eligible to obtain the required authorizations from the U.S. Department of State. Learn more about the ITAR here.
SpaceX is an Equal Opportunity Employer; employment with SpaceX is governed on the basis of merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status.
Applicants wishing to view a copy of SpaceX’s Affirmative Action Plan for veterans and individuals with disabilities, or applicants requiring reasonable accommodation to the application/interview process s",2026-09-14_14-43-49,2026-09-14,2026-09-14,True
"Account Manager, Starlink Strategic Connectivity","Bastrop, TX",SpaceX,Corporate - Sales & Business Operations,https://boards.greenhouse.io/spacex/jobs/8495838002?gh_jid=8495838002,"Act as the primary point of contact for a portfolio of Strategic Connectivity accounts by building and managing the strategy to own the interface from contract signature onwards including onboarding, ongoing account management, and long-term retention/growth of the relationship including social and humanitarian impact. In particular, this role is focused on:
Delivering impeccable customer service at scale to underserved communities
Developing engagement strategy and content for underserved communities that enables continuous growth and self-support
Building relationships to identify requirements and manage expectations
Collecting, communicating and championing customer feedback internally to influence and steer programmatic and technical development required to maintain and grow business
Maintaining a culture of extreme ownership to drive continuous growth and streamline process efficiency
Help define and shape the overall social impact narrative for Starlink, documenting compelling stories, case studies, and reports that demonstrate measurable societal benefits, such as improved outcomes in education, healthcare, and economic development in remote areas
Manage strategic partnershi","Bachelor's degree
3+ years of consulting, project management, or strategic planning experience
2+ years in an external-facing role managing vendors, commercial or government contracts, or business/enterprise customers
PREFERRED SKILLS & EXPERIENCE:
Demonstrated leadership in negotiations
Demonstrated ability to project manage multiple new products or programs from ideation to full-scale implementation
Proven track record of defining and managing complex projects independently, with executive-level oversight
Experience interpreting, negotiating, and influencing technical requirements in high-stakes environments
Experience managing multiple large-scale projects and delivering under tight time, resource, and geopolitical constraints
Excellent problem-solving and investigative skills, with a history of uncovering root causes and driving systemic improvements
Outstanding written and verbal communication skills, including crafting executive-level presentations, impact reports, and narrative-driven content
Exceptional empathy, active listening, resiliency, and stakeholder management skills, particularly in diverse cultural or regional contexts
Ability to read, draft, and negotiate complex","Must be available to work extended hours and/or weekends as needed to support critical milestones or operations shifts
Must be willing to travel to other SpaceX offices, customer locations, and international regions as needed
ITAR REQUIREMENTS:
To conform to U.S. Government export regulations, applicant must be a (i) U.S. citizen or national, (ii) U.S. lawful, permanent resident (aka green card holder), (iii) Refugee under 8 U.S.C. § 1157, or (iv) Asylee under 8 U.S.C. § 1158, or be eligible to obtain the required authorizations from the U.S. Department of State. Learn more about the ITAR here.
SpaceX is an Equal Opportunity Employer; employment with SpaceX is governed on the basis of merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status.
Applicants wishing to view a copy of SpaceX’s Affirmative Action Plan for veterans and individuals with disabilities, or applicants requiring reasonable accommodation to the application/interview process s",2026-09-14_14-43-50,2026-09-14,2026-09-14,True
"Account Manager, Starlink Strategic Connectivity","Hawthorne, CA",SpaceX,Corporate - Sales & Business Operations,https://boards.greenhouse.io/spacex/jobs/8495870002?gh_jid=8495870002,"Act as the primary point of contact for a portfolio of Strategic Connectivity accounts by building and managing the strategy to own the interface from contract signature onwards including onboarding, ongoing account management, and long-term retention/growth of the relationship including social and humanitarian impact. In particular, this role is focused on:
Delivering impeccable customer service at scale to underserved communities
Developing engagement strategy and content for underserved communities that enables continuous growth and self-support
Building relationships to identify requirements and manage expectations
Collecting, communicating and championing customer feedback internally to influence and steer programmatic and technical development required to maintain and grow business
Maintaining a culture of extreme ownership to drive continuous growth and streamline process efficiency
Help define and shape the overall social impact narrative for Starlink, documenting compelling stories, case studies, and reports that demonstrate measurable societal benefits, such as improved outcomes in education, healthcare, and economic development in remote areas
Manage strategic partnershi","Bachelor's degree
3+ years of consulting, project management, or strategic planning experience
2+ years in an external-facing role managing vendors, commercial or government contracts, or business/enterprise customers
PREFERRED SKILLS & EXPERIENCE:
Demonstrated leadership in negotiations
Demonstrated ability to project manage multiple new products or programs from ideation to full-scale implementation
Proven track record of defining and managing complex projects independently, with executive-level oversight
Experience interpreting, negotiating, and influencing technical requirements in high-stakes environments
Experience managing multiple large-scale projects and delivering under tight time, resource, and geopolitical constraints
Excellent problem-solving and investigative skills, with a history of uncovering root causes and driving systemic improvements
Outstanding written and verbal communication skills, including crafting executive-level presentations, impact reports, and narrative-driven content
Exceptional empathy, active listening, resiliency, and stakeholder management skills, particularly in diverse cultural or regional contexts
Ability to read, draft, and negotiate complex","Must be available to work extended hours and/or weekends as needed to support critical milestones or operations shifts
Must be willing to travel to other SpaceX offices, customer locations, and international regions as needed
Pay range:
Account Manager, Starlink Strategic Connectivity : $115,000.00 - $150,000.00/per year
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.
Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees",2026-09-14_14-43-51,2026-09-14,2026-09-14,True
Accounts Payable Specialist,"Hawthorne, CA",SpaceX,Corporate - Finance & Accounting,https://boards.greenhouse.io/spacex/jobs/8762056002?gh_jid=8762056002,"Meet transaction targets in a high-volume accounts payable department
Process and match invoices to purchase orders and resolve any discrepancies
Review invoices for appropriate documentation and approval prior to payment
Respond to questions from vendors and internal departments in a timely manner
Reconcile vendor statements, research, and correct discrepancies
Provide support to the department by processing expense reports, maintaining Excel reports, importing, and exporting databases and files
Payment coordination on a weekly basis
Maintain files and documentation thoroughly and accurately, in accordance with company policy and accepted accounting practices","Bachelor’s degree
1+ years of accounts payable, finance, or operations experience (internship experience qualifies)
PREFERRED SKILLS AND EXPERIENCE:
Strong motivation for automation and process improvement
General knowledge of generally accepted accounting principles (GAAP)
Experience with Excel and MS Dynamics 365 or other ERP accounting systems
Strong written and oral communication skills
Experience with SQL
Ability to work independently and with a team in a fast-paced and high-volume environment with emphasis on accuracy and timeliness
Strong organizational and time management skills","Must be willing to work overtime and/or weekends as needed
This position is based in Hawthorne, CA (Los Angeles area), and requires being onsite full-time - hybrid and remote work will not be considered
Pay Range:
Level 1: $30.00 - $34.00
Level 2: $33.00 - $38.00
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.
Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees accrue paid sick leave pursuant to Company policy which satisfies or excee",2026-09-14_14-43-52,2026-09-14,2026-09-14,True
"Account Specialist, Starlink Enterprise Account Management (Aviation)","Woodinville, WA",SpaceX,Corporate - Sales & Business Operations,https://boards.greenhouse.io/spacex/jobs/8476089002?gh_jid=8476089002,"Review and validate purchase orders and documents such as Purchase Orders, Letters of Authorizations, and Pricing for compliance
Create and configure customer accounts, service lines, hardware assignments, and billing structures
Apply pricing, discounts, and terms per the customer’s contracts
Partner with Sales, Finance, Logistics, and Customer Support to process orders through activation
Track order timelines and flag risks to revenue and activation goals
Maintain precise records in internal systems and trackers
Spot friction points and suggest scalable process and system improvements
Ensure accounts are activated and invoiced on forecasted schedules","Bachelor’s degree; OR 2+ years of professional experience in operations, customer support, or process coordination
PREFERRED SKILLS AND EXPERIENCE:
Strong attention to detail for process-driven work
Skill interpreting contracts, pricing, and billing rules
Cross-functional collaboration under tight deadlines
Proficiency in Excel, Salesforce, Smartsheet, or similar tools
Ability to turn partner feedback into improvements
Excellent written/verbal communication skills
Multi-tasking with accuracy and ownership","Willingness to travel to customer sites, other SpaceX locations, and events as needed
Must be available to work extended hours and/or weekends as needed
Account Specialist/Level I: $82,000.00 - $100,000.00/per year
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.
Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Employees in Washington State accrue paid sick time in compliance with state and federal law. Company shuttles are of",2026-09-14_14-43-53,2026-09-14,2026-09-14,True
